event_id,time,start_lon,start_lat,end_lon,end_lat,state,cz_name,cz_timezone,tor_f_scale,tor_f_scale_num,tor_length,tor_width,deaths_direct,injuries_direct,damage_property_num,source_file,data_year
865220,2020-01-04 10:29:00,-81.9234,28.7399,-81.8907,28.7589,FLORIDA,LAKE,EST-5,EF0,0.0,2.38,175.0,0,1,,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
865221,2020-01-04 11:26:00,-81.3514,29.0023,-81.2841,29.0264,FLORIDA,VOLUSIA,EST-5,EF1,1.0,4.39,265.0,0,0,25000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
874056,2020-01-10 10:34:00,-96.6952,35.4864,-96.6814,35.5013,OKLAHOMA,LINCOLN,CST-6,EF0,0.0,1.3,10.0,0,0,25000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
874086,2020-01-10 11:55:00,-95.1771,36.0991,-95.1659,36.1163,OKLAHOMA,MAYES,CST-6,EFU,,1.0,50.0,0,0,0.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
872580,2020-01-10 14:27:00,-93.6194,37.6057,-93.6147,37.611,MISSOURI,CEDAR,CST-6,EF1,1.0,0.45,50.0,0,0,0.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
872581,2020-01-10 14:28:00,-93.6147,37.611,-93.5194,37.7037,MISSOURI,POLK,CST-6,EF1,1.0,8.25,50.0,0,0,500000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
873054,2020-01-10 14:46:00,-97.6375,33.0971,-97.6343,33.1023,TEXAS,WISE,CST-6,EF0,0.0,0.4,75.0,0,0,10000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
867121,2020-01-10 14:49:00,-95.0229,35.7796,-94.948,35.8369,OKLAHOMA,CHEROKEE,CST-6,EF1,1.0,5.8,250.0,0,0,50000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
872585,2020-01-10 15:20:00,-93.1863,38.0057,-93.1664,38.0222,MISSOURI,HICKORY,CST-6,EF1,1.0,1.57,100.0,0,0,45000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
873066,2020-01-10 17:41:00,-97.4673,32.4886,-97.4502,32.4934,TEXAS,JOHNSON,CST-6,EF1,1.0,1.05,250.0,0,0,20000.0,StormEvents_details-ftp_v1.0_d2020_c20260323.csv.gz,2020
